RegNo,HerdCode,DrayDate
3.64099E+14,,1394/01/22
3.64099E+14,,1395/02/13
3.64099E+14,,1396/04/18
3.64099E+14,,1397/06/03
3.64099E+14,,1394/04/02
3.64099E+14,,1395/07/28
3.64099E+14,,1397/02/16
3.64099E+14,,1396/01/06
3.64099E+14,,1394/06/11
3.64099E+14,,1396/02/18
3.64099E+14,,1397/06/18
3.64099E+14,,1394/10/18
3.64099E+14,,1394/08/17
3.64099E+14,,1395/11/24
3.64099E+14,,1396/10/18
3.64099E+14,,1394/06/20
3.64099E+14,,1395/11/11
3.64099E+14,,1397/08/30
3.64099E+14,,1394/07/06
3.64099E+14,,1394/08/17
3.64099E+14,,1396/04/19
3.64099E+14,,1395/05/08
3.64099E+14,,1396/07/15
3.64099E+14,,1395/01/23
3.64099E+14,,1396/01/20
3.64099E+14,,1397/02/09
3.64099E+14,,1395/05/27
3.64099E+14,,1394/11/20
3.64099E+14,,1394/09/20
3.64099E+14,,1395/11/11
3.64099E+14,,1396/10/18
3.64099E+14,,1394/12/20
3.64099E+14,,1394/12/20
3.64099E+14,,1395/09/21
3.64099E+14,,1396/10/02
3.64099E+14,,1395/11/11
3.64099E+14,,1395/06/22
3.64099E+14,,1396/11/28
3.64099E+14,,1395/05/08
3.64099E+14,,1396/08/20
3.64099E+14,,1395/11/11
3.64099E+14,,1395/09/21
3.64099E+14,,1397/06/03
3.64099E+14,,1395/11/01
3.64099E+14,,1397/02/09
3.64099E+14,,1395/11/11
3.64099E+14,,1397/04/01
3.64099E+14,,1396/03/14
3.64099E+14,,1396/10/18
3.64099E+14,,1397/02/09
3.64099E+14,,1395/10/12
3.64099E+14,,1396/10/02
3.64099E+14,,1397/06/03
3.64099E+14,,1396/01/19
3.64099E+14,,1397/02/22
3.64099E+14,,1396/01/19
3.64099E+14,,1396/07/15
3.64099E+14,,1397/02/15
3.64099E+14,,1396/10/18
3.64099E+14,,1397/06/03
3.64099E+14,,1396/12/21
3.64099E+14,,1395/08/30
3.64099E+14,,1397/02/01
3.64099E+14,,1397/07/01
3.64099E+14,,1397/04/01
3.64099E+14,,1397/04/01
3.64099E+14,,1397/07/22
3.64099E+14,,1397/02/01
3.64099E+14,,1397/05/24
3.64099E+14,,1399/10/08
3.64099E+14,,1400/02/03
3.64099E+14,,1401/01/08
3.64099E+14,,1398/09/12
3.64099E+14,,1399/08/05
3.64099E+14,,1399/04/06
3.64099E+14,,1399/01/21
3.64099E+14,,1400/08/03
3.64099E+14,,1400/11/06
3.64099E+14,,1399/05/10
3.64099E+14,,1399/02/13
3.64099E+14,,1400/02/03
3.64099E+14,,1401/03/14
3.64099E+14,,1402/03/29
3.64099E+14,,1399/03/10
3.64099E+14,,1399/01/03
3.64099E+14,,1400/02/03
3.64099E+14,,1400/12/14
3.64099E+14,,1401/07/30
3.64099E+14,,1403/02/04
3.64099E+14,,1399/03/28
3.64099E+14,,1399/12/30
3.64099E+14,,1402/06/18
3.64099E+14,,1398/12/14
3.64099E+14,,1400/08/03
3.64099E+14,,1402/01/03
3.64099E+14,,1399/11/15
3.64099E+14,,1401/01/08
3.64099E+14,,1401/12/19
3.64099E+14,,1398/09/14
3.64099E+14,,1399/08/05
3.64099E+14,,1398/09/12
3.64099E+14,,1400/04/03
3.64099E+14,,1398/12/03
