HerdCode,RegNo,Jalali,Fat,Protein,FreezingPointDepression,Cells
,3.64099E+14,1399/07/02,3.14,3.23,,302
,3.64009E+14,1401/08/08,4.52,3.65,,446
,3.64009E+14,1402/12/16,3.73,2.77,,30
,3.64009E+14,1402/11/15,3.92,3.3,,
,3.64009E+14,1401/06/07,3.67,3.19,,43
,3.64009E+14,1400/12/02,2.1,2.97,,30
,3.64009E+14,1402/06/15,3.81,2.75,,161
,3.64009E+14,1400/03/04,2.15,2.29,,22
,3.64099E+14,1400/07/04,3.95,3.32,20,
,3.64009E+14,1401/07/07,4.93,3.68,,140
,3.64009E+14,1401/03/08,3.78,2.22,,31
,3.64099E+14,1403/04/11,2.74,2.87,,
,3.64009E+14,1401/10/07,4.45,3.58,,67
,3.64009E+14,1400/04/01,3.5,3.29,,535
,3.64009E+14,1400/07/04,4.48,3.46,19,
,3.64099E+14,1398/09/05,2.02,3.12,,23
,3.64099E+14,1398/12/05,3.18,3.03,,
,3.64009E+14,1402/06/15,3.33,3,,135
,3.64009E+14,1401/08/08,6.96,3.95,,411
,3.64009E+14,1400/07/04,2.96,3.23,18,
